candidate_id,program_id,score,timestamp,is_scholarship,hs_id
11325,1,7500,1,1,398
11123,19,8368,2,0,176
8213,1,7665,3,0,127
962,40,6354,4,0,14
8693,18,4307,5,1,82
8309,4,5518,6,0,262
2191,19,5796,7,0,329
6601,13,6168,8,0,17
4917,1,6480,9,0,36
5316,10,7461,10,0,207
3464,19,5107,11,0,373
4323,9,8229,12,0,52
6629,194,6336,13,1,275
2072,49,6478,14,0,299
2282,4,7029,15,0,197
8846,2,7870,16,0,319
4866,1,7780,17,0,228
5021,97,6626,18,1,79
4427,33,5685,19,0,211
8353,18,7242,20,1,386
8818,6,5836,21,0,267
3072,8,8580,22,0,382
10668,2,4963,23,0,328
8093,10,5457,24,0,299
4772,1,8476,25,0,341
2380,20,5561,26,0,266
2628,21,7217,27,1,237
3970,29,4978,28,0,71
4466,2,5824,29,0,6
8838,1,7472,30,1,227
7174,3,8434,31,0,46
2012,33,5747,32,0,15
11272,9,5359,33,0,212
4407,55,7988,34,1,189
9441,5,9458,35,0,200
9943,4,8301,36,0,160
7960,263,7503,37,1,258
9582,1,7021,38,1,267
9689,1,7629,39,0,25
10037,15,8770,40,1,101
5492,21,4767,41,0,226
1682,5,3775,42,0,220
564,12,8292,43,0,72
415,6,8816,44,0,210
3547,28,4467,45,0,227
8633,214,4913,46,0,111
6798,112,7564,47,0,35
6111,22,3438,48,0,307
8412,7,3663,49,1,277
785,416,7115,50,0,152
4971,6,7251,51,1,385
2734,20,8254,52,1,118
4510,173,5624,53,1,46
9890,32,6709,54,0,126
6332,4,6892,55,0,290
785,52,6365,56,0,152
1697,17,4816,57,0,270
11089,286,9062,58,0,193
9270,20,8501,59,0,157
3759,10,6554,60,0,223
10525,574,8116,61,0,148
1211,10,2063,62,0,212
379,4,7394,63,0,182
9157,371,5959,64,0,179
6430,399,5770,65,0,257
10806,1,5792,66,1,286
772,1,6990,67,0,368
6845,155,6331,68,1,51
7484,201,5933,69,0,365
8632,4,5374,70,1,43
2042,2,5799,71,0,174
3338,32,3684,72,0,399
5320,381,7197,73,0,198
2949,2,6245,74,0,244
4988,6,7249,75,1,221
5392,27,7831,76,0,272
6693,2,8346,77,0,57
4381,5,6267,78,0,188
3939,1,9062,79,1,126
1923,7,7279,80,0,292
1823,2,6657,81,1,19
2156,1,5000,82,0,352
8408,4,7234,83,0,37
5777,1,4422,84,0,36
6723,1,8099,85,0,195
8433,1,6540,86,0,92
10544,5,9201,87,1,151
5898,3,7681,88,0,319
9003,46,8549,89,0,150
11083,5,6295,90,0,85
4507,2,7082,91,0,365
7843,1,5360,92,1,225
475,2,8495,93,0,313
6187,53,6989,94,0,283
1132,1,8121,95,1,64
488,7,7133,96,0,144
4745,93,6247,97,0,270
10623,117,8597,98,1,335
4619,7,6240,99,0,197
7680,133,5884,100,1,225
9472,23,4110,101,1,143
7768,2,7147,102,0,289
9545,1,4036,103,0,203
1910,1,6452,104,1,352
4052,80,9159,105,1,199
6347,4,6681,106,0,394
6324,126,6798,107,0,366
11777,530,5968,108,0,389
713,300,5436,109,0,315
3654,7,5746,110,0,395
8373,1,3805,111,0,120
5938,2,9067,112,1,303
7342,2,7613,113,0,33
1778,24,5995,114,0,393
1531,37,8964,115,1,325
11193,308,6894,116,1,388
1028,38,6328,117,1,209
6869,481,8436,118,0,39
11289,22,6857,119,0,251
10908,7,5025,120,0,114
5032,125,6478,121,0,25
11507,2,4242,122,0,42
11407,72,7482,123,0,72
7431,46,6142,124,0,123
3993,170,6974,125,0,347
3958,1,5279,126,0,365
9043,1,5182,127,0,179
7428,427,6020,128,0,251
7059,1,5997,129,0,211
4325,6,5172,130,0,78
6875,17,5339,131,0,115
789,7,5563,132,0,264
6947,193,5042,133,0,16
2072,457,7208,134,0,299
5061,3,5031,135,0,310
4610,1,6266,136,1,97
11847,284,6706,137,0,13
11367,6,4904,138,1,258
9767,2,6391,139,0,160
3076,1,6297,140,0,34
6016,1,7116,141,1,390
3857,15,5017,142,1,301
10017,2,5480,143,0,295
11551,12,3652,144,0,352
1182,318,7457,145,0,151
4449,8,7661,146,1,394
4482,446,7191,147,0,70
4630,1,6071,148,0,302
2559,60,8093,149,0,155
7727,58,5301,150,0,170
563,476,7568,151,1,134
4704,1,9433,152,0,93
9896,9,8984,153,1,397
1800,12,7212,154,1,89
8091,17,7207,155,0,378
10803,7,7643,156,1,7
